@relation TWS-3D-v3.3.2-grayscale

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
3,1.8,0.7,1.846154,0.474359,2.195122,0.305878,2.428141,0.711883,'class 1'
1,1.8,0.7,1.923077,0.576923,2.276423,0.365587,2.522613,0.837265,'class 1'
2,1.6,0.3,1.846154,0.307692,2.300813,0.40877,2.471357,0.73434,'class 1'
2,2.2,0.7,2.153846,0.307692,2.292683,0.372651,2.403015,0.63319,'class 1'
3,2.4,0.3,2.230769,0.358974,2.479675,0.595895,2.513568,0.809423,'class 1'
2,2.6,0.3,2.384615,0.423077,2.439024,0.57617,2.478392,0.742742,'class 1'
1,2.2,0.7,2.461539,0.602564,2.512195,0.628948,2.613065,0.955765,'class 1'
2,2.4,1.3,2.384615,0.589744,2.430894,0.476743,2.590955,0.909978,'class 1'
2,2,0,2.153846,0.641026,2.390244,0.469412,2.556784,0.858694,'class 1'
1,1.8,0.2,2.230769,0.525641,2.430894,0.493136,2.629146,0.927721,'class 1'
2,2,0.5,2.076923,0.410256,2.390244,0.502199,2.588945,0.892232,'class 1'
2,2,0.5,2.153846,0.474359,2.317073,0.398641,2.555779,0.844723,'class 1'
1,2,0.5,2.076923,0.410256,2.455285,0.512328,2.567839,0.853291,'class 1'
2,2.4,0.8,2.384615,0.589744,2.536585,0.693323,2.605025,0.877037,'class 1'
